Meses_Contrato,Pago_Mensual,Reclamos_Soporte,Tipo_Contrato,Uso_Datos_GB,Gasto_Total_Estimado,Ratio_Quejas_Mes,Saturacion_Datos,Churn,Pago_Mensual_Norm
28,90.037921750519,1,Anual,64.40547309276519,2521.061809014532,0.034482758620689655,0,0,0.6365719692240674
44,97.80794054861543,1,Anual,106.5770681480586,4303.549384139079,0.022222222222222223,1,0,0.7072388189011443
43,42.95797197406533,3,Mes a mes,62.20272620982165,1847.1927948848092,0.06818181818181818,0,1,0.2083887408292972
29,121.77714532144533,2,Mes a mes,104.28154326375359,3531.5372143219147,0.06666666666666667,1,1,0.925234197622186
61,50.556324730350156,3,Mes a mes,40.71103298354572,3083.9358085513595,0.04838709677419355,0,1,0.2774943203619143
46,40.367564640745385,0,Mes a mes,85.4942759886109,1856.9079734742877,0.0,1,0,0.1848294766392331
38,90.57416879576954,1,Mes a mes,13.202328315574881,3441.8184142392424,0.02564102564102564,0,0,0.6414490345595825
40,66.8264642476503,0,Anual,99.43139070433163,2673.058569906012,0.0,1,0,0.42546815844011776
12,24.506064561537002,3,Mes a mes,15.553598752375134,294.072774738444,0.23076923076923078,0,1,0.040572136872569234
70,66.43601403169163,2,Mes a mes,73.60843035985164,4650.520982218414,0.028169014084507043,0,0,0.4219170876596592
35,97.15408874117261,0,Anual,41.19832663724782,3400.3931059410415,0.0,0,0,0.7012921605225356
67,120.32492136031473,0,Mes a mes,102.08803248878792,8061.7697311410875,0.0,1,0,0.9120264956815154
5,49.535402711487876,0,Dos años,74.25120697479285,247.67701355743938,0.0,0,0,0.2682092279170114
9,24.99675348614287,1,Mes a mes,81.18292861140353,224.97078137528584,0.1,1,0,0.04503485972747721
63,22.42800665067812,1,Anual,95.61418007306446,1412.9644189927217,0.015625,1,0,0.021672593663883355
17,62.72548995005518,1,Mes a mes,86.55701853696708,1066.333329150938,0.05555555555555555,1,1,0.3881705737433202
42,39.85892735909232,0,Dos años,77.45546721345488,1674.0749490818775,0.0,0,0,0.18020351687559136
11,38.7894417819412,3,Mes a mes,69.55084380560568,426.6838596013532,0.25,0,1,0.17047674806380217
45,125.53175287687213,2,Anual,84.87426812059655,5648.928879459246,0.043478260869565216,1,0,0.9593816423852237
36,45.12316034932987,1,Mes a mes,84.82512503618607,1624.4337725758753,0.02702702702702703,1,0,0.22808071911316685
49,43.77464605418659,0,Mes a mes,25.764949071218386,2144.9576566551427,0.0,0,0,0.2158162369467111
52,81.67829862432194,2,Mes a mes,40.23369700095075,4247.271528464741,0.03773584905660377,0,1,0.5605427798274201
54,123.82277689762061,0,Anual,41.00587458278814,6686.429952471513,0.0,0,0,0.9438388294570119
23,76.14492668025444,1,Mes a mes,39.74397806069047,1751.3333136458523,0.041666666666666664,0,1,0.5102178097675575
36,83.38994559685183,1,Anual,97.0933139233518,3002.038041486666,0.02702702702702703,1,0,0.5761098849337329
57,59.011437614013296,1,Anual,32.01990794222782,3363.651943998758,0.017241379310344827,0,0,0.3543919710212562
23,30.019790572251978,1,Dos años,21.29792741212137,690.4551831617955,0.041666666666666664,0,0,0.09071843088864562
7,48.471110404282115,1,Mes a mes,83.68529896207788,339.2977728299748,0.125,1,1,0.25852969091200384
45,83.15709263703971,1,Dos años,70.53827950788745,3742.069168666787,0.021739130434782608,0,0,0.5739921313561049
45,32.81199712323773,1,Anual,63.89922430747337,1476.5398705456978,0.021739130434782608,0,0,0.11611302075169716
50,49.1587652915631,4,Mes a mes,104.46681613994825,2457.938264578155,0.0784313725490196,1,1,0.2647837819009597
44,103.43756988747309,2,Anual,87.13943744852492,4551.253075048816,0.044444444444444446,1,0,0.7584392317398081
12,60.92835403077194,1,Mes a mes,118.91771071336757,731.1402483692633,0.07692307692307693,1,1,0.3718259628540419
22,81.98568771543412,1,Mes a mes,51.482448771104806,1803.6851297395508,0.043478260869565216,0,1,0.5633384254054359
63,126.3977039504743,4,Mes a mes,101.6349431818421,7963.0553488798805,0.0625,1,1,0.9672573034275033
21,52.04071943209138,2,Anual,90.60283268454975,1092.855108073919,0.09090909090909091,1,0,0.2909946090967492
67,79.64666338510168,2,Mes a mes,42.844167238119326,5336.326446801812,0.029411764705882353,0,1,0.5420654420269242
51,20.79282430954883,1,Dos años,74.63233514488066,1060.4340397869903,0.019230769230769232,0,0,0.006800919901201661
69,45.03372442823155,1,Anual,68.04009840981995,3107.326985547977,0.014285714285714285,0,0,0.22726731634591302
70,67.17425106154067,0,Anual,98.0223128875238,4702.197574307847,0.0,1,0,0.4286312136572919
5,36.03453720365926,3,Mes a mes,12.073995689688005,180.1726860182963,0.5,0,1,0.1454214125791782
52,22.534459891973366,1,Dos años,27.627623773434923,1171.791914382615,0.018867924528301886,0,0,0.022640765736014208
